.,?,*,*_nested,+,+_nested,repeat_n,repeat_n_nested,repeat_nm,repeat_nm_nested,repeat_n_more,repeat_n_more_nested,repeat_m_less,repeat_m_less_nested,join,list,nList,range,posix,\b,\B,word_begin,word_end,\w,\W,\s,\S,^,$,backref,\p,\P,\N,\d,\D,\q,\Q,\x,look_ahead,nlook_ahead,look_behind,nlook_behind,grapheme_cluster,\u,-l,-L,-x,-w,-utf_16,-c,-i,-e,-f,-t,\t
false,false,true,1,true,3,true,1,true,1,true,2,false,1,false,false,false,false,[:alnum:],true,false,true,false,true,false,true,true,false,true,false,true,true,false,true,false,false,true,false,true,true,false,true,true,false,true,false,true,false,true,false,false,true,false,3,true
true,false,true,1,true,3,true,1,true,2,false,1,false,2,false,true,false,false,[:alnum:],false,true,true,false,false,false,true,false,true,false,true,false,false,false,false,true,false,true,false,true,true,true,false,false,true,false,true,true,true,false,true,true,true,true,2,false
false,true,false,1,false,3,false,1,false,3,true,0,true,3,true,false,true,true,[:alnum:],true,false,false,true,true,true,false,true,false,true,false,true,true,true,true,false,true,false,true,false,false,false,true,true,false,true,false,false,false,true,false,false,false,false,1,true
true,false,false,1,false,3,false,2,true,0,true,0,false,1,true,false,true,false,[:alnum:],false,true,false,false,true,false,false,false,true,false,false,true,false,true,false,true,true,true,false,true,false,true,false,true,false,true,false,true,false,true,true,false,false,false,2,true
false,true,true,1,true,3,true,2,false,1,false,1,true,0,false,true,false,true,[:alnum:],true,false,true,true,false,true,true,true,false,true,true,false,true,false,true,false,false,false,true,false,true,false,true,false,true,false,true,false,true,false,false,true,true,true,1,false
true,true,false,1,false,3,true,2,false,2,false,2,false,3,false,true,true,true,[:alnum:],true,true,true,false,true,false,true,true,false,false,false,true,false,false,true,true,false,false,true,false,true,true,false,true,false,true,false,true,true,true,true,true,true,false,4,true
false,false,true,1,true,3,false,2,true,3,true,3,true,2,true,false,false,false,[:alnum:],false,false,false,true,false,true,false,false,true,true,true,false,true,true,false,false,true,true,false,true,false,false,true,false,true,false,true,false,false,false,false,false,false,true,3,false
false,true,true,1,false,3,false,3,false,0,false,1,true,3,false,false,false,false,[:alnum:],false,true,false,false,true,true,false,true,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,true,false,false,true,true,false,true,false,3,true
true,false,false,1,true,3,true,3,true,1,true,0,false,2,true,true,true,true,[:alnum:],true,false,true,true,false,false,true,false,false,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true,true,false,true,true,false,false,true,false,true,4,false
false,false,true,1,true,3,false,3,false,2,false,3,true,1,true,false,false,true,[:alnum:],false,false,true,true,false,false,false,true,false,false,false,true,true,false,false,true,false,false,false,true,false,true,true,true,true,false,false,false,true,true,false,false,true,false,1,true
true,true,false,1,false,3,true,3,true,3,true,2,false,0,false,true,true,false,[:alnum:],true,true,false,false,true,true,true,false,true,true,true,false,false,true,true,false,true,true,true,false,true,false,false,false,false,true,true,true,false,false,true,true,false,true,2,false
false,true,true,2,false,0,false,0,true,0,false,2,true,0,false,false,true,true,[:alnum:],true,false,false,false,false,true,true,true,true,false,false,true,true,true,false,true,true,true,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false,false,3,false
true,false,false,2,true,0,true,0,false,1,true,3,false,1,true,true,false,false,[:alnum:],false,true,true,true,true,false,false,false,false,true,true,false,false,false,true,false,false,false,true,true,true,true,false,true,true,false,true,true,true,false,false,true,true,true,4,true
false,false,false,2,false,0,false,0,true,2,false,0,true,2,true,true,false,true,[:alnum:],true,true,true,true,false,false,true,true,false,false,true,false,false,true,false,false,true,false,false,false,true,true,false,false,false,true,true,true,false,true,false,false,true,false,1,false
true,true,true,2,true,0,true,0,false,3,true,1,false,3,false,false,true,false,[:alnum:],false,false,false,false,true,true,false,false,true,true,false,true,true,false,true,true,false,true,true,true,false,false,true,true,true,false,false,false,true,false,true,true,false,true,2,true
false,false,true,2,true,0,false,1,false,0,false,3,false,2,false,true,true,false,[:alnum:],true,false,true,true,true,true,true,true,false,true,false,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,false,2,true
true,true,false,2,false,0,true,1,true,1,true,2,true,3,true,false,false,true,[:alnum:],false,true,false,false,false,false,false,false,true,false,true,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,true,1,false
false,true,true,2,false,0,true,1,false,2,true,1,true,0,false,true,true,true,[:alnum:],false,true,true,false,true,true,true,false,false,false,true,false,true,true,true,false,false,true,false,true,true,false,false,true,false,true,false,false,true,true,false,false,false,false,4,false
true,false,false,2,true,0,false,1,true,3,false,0,false,1,true,false,false,false,[:alnum:],true,false,false,true,false,false,false,true,true,true,false,true,false,false,false,true,true,false,true,false,false,true,true,false,true,false,true,true,false,false,true,true,true,true,3,true
false,false,false,2,false,0,true,2,false,0,false,0,true,3,false,false,false,false,[:alnum:],false,false,true,true,true,true,false,true,true,false,false,false,false,true,true,false,false,true,true,false,true,false,true,false,false,true,true,false,false,false,false,true,false,true,4,true
true,true,true,2,true,0,false,2,true,1,true,1,false,2,true,true,true,true,[:alnum:],true,true,false,false,false,false,true,false,false,true,true,true,true,false,false,true,true,false,false,true,false,true,false,true,true,false,false,true,true,true,true,false,true,false,3,false
false,true,false,2,true,0,false,2,false,2,true,2,true,1,false,false,false,false,[:alnum:],true,true,false,true,false,true,true,false,true,false,true,true,true,false,true,true,false,true,true,true,true,true,false,false,true,true,true,true,false,true,false,true,true,true,2,false
true,false,true,2,false,0,true,2,true,3,false,3,false,0,true,true,true,true,[:alnum:],false,false,true,false,true,false,false,true,false,true,false,false,false,true,false,false,true,false,false,false,false,false,true,true,false,false,false,false,true,false,true,false,false,false,1,true
true,false,false,2,true,0,true,3,true,0,true,1,true,1,false,false,true,false,[:alnum:],true,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,true,false,false,true,false,false,false,true,true,true,true,false,false,false,true,true,true,true,1,false
false,true,true,2,false,0,false,3,false,1,false,0,false,0,true,true,false,true,[:alnum:],false,true,false,true,true,true,false,false,true,true,false,false,false,false,false,true,false,true,true,false,true,true,true,false,false,false,false,true,true,true,false,false,false,false,2,true
true,true,false,2,false,0,true,3,false,2,false,3,false,3,false,true,true,false,[:alnum:],true,true,false,true,false,false,false,true,false,false,false,false,true,false,false,false,true,true,true,true,true,false,false,true,false,false,true,true,false,true,true,false,false,true,3,false
false,false,true,2,true,0,false,3,true,3,true,2,true,2,true,false,false,true,[:alnum:],false,false,true,false,true,true,true,false,true,true,true,true,false,true,true,true,false,false,false,false,false,true,true,false,true,true,false,false,true,false,false,true,true,false,4,true
false,true,false,2,true,1,false,0,false,0,true,3,false,3,true,false,true,true,[:alnum:],false,false,true,false,false,false,true,false,true,true,false,false,false,false,false,true,true,false,true,false,true,false,false,true,false,true,false,true,false,true,false,true,false,true,1,true
true,false,true,2,false,1,true,0,true,1,false,2,true,2,false,true,false,false,[:alnum:],true,true,false,true,true,true,false,true,false,false,true,true,true,true,true,false,false,true,false,true,false,true,true,false,true,false,true,false,true,false,true,false,true,false,2,false
false,false,true,2,true,1,true,0,true,2,true,1,false,1,true,false,false,true,[:alnum:],false,true,false,false,true,false,false,true,true,false,false,false,true,true,true,false,true,false,true,false,false,true,false,false,true,true,false,false,true,true,true,true,true,true,3,true
true,true,false,2,false,1,false,0,false,3,false,0,true,0,false,true,true,false,[:alnum:],true,false,true,true,false,true,true,false,false,true,true,true,false,false,false,true,false,true,false,true,true,false,true,true,false,false,true,true,false,false,false,false,false,false,4,false
true,true,true,2,true,1,false,1,true,0,false,2,false,1,false,true,false,true,[:alnum:],false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true,true,false,4,true
false,false,false,2,false,1,true,1,false,1,true,3,true,0,true,false,true,false,[:alnum:],true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,false,false,false,false,true,false,false,false,false,false,true,3,false
true,false,true,2,false,1,false,1,true,2,true,0,true,3,false,true,true,true,[:alnum:],false,false,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,false,true,true,true,true,false,false,true,false,false,false,false,true,true,false,false,false,2,false
false,true,false,2,true,1,true,1,false,3,false,1,false,2,true,false,false,false,[:alnum:],true,true,true,true,true,false,false,false,false,false,true,true,true,true,false,true,false,true,false,false,false,false,true,true,false,true,true,true,true,false,false,true,true,true,1,true
true,false,false,2,false,1,false,2,true,0,true,1,false,0,false,false,false,true,[:alnum:],true,true,true,true,false,true,false,true,false,true,false,false,true,true,false,true,false,false,true,false,false,false,false,true,true,false,true,false,false,false,true,false,true,true,2,true
false,true,true,2,true,1,true,2,false,1,false,0,true,1,true,true,true,false,[:alnum:],false,false,false,false,true,false,true,false,true,false,true,true,false,false,true,false,true,true,false,true,true,true,true,false,false,true,false,true,true,true,false,true,false,false,1,false
true,true,false,2,true,1,true,2,true,2,false,3,true,2,false,false,false,true,[:alnum:],true,false,false,false,true,true,true,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,true,false,true,false,true,false,true,true,false,true,false,true,4,false
false,false,true,2,false,1,false,2,false,3,true,2,false,3,true,true,true,false,[:alnum:],false,true,true,true,false,false,false,true,false,false,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,false,true,false,false,true,false,true,false,3,true
true,true,true,2,true,1,true,3,false,0,true,0,true,2,true,true,true,false,[:alnum:],false,true,true,false,false,false,false,false,true,true,false,false,true,true,false,false,false,true,true,false,true,true,true,true,true,true,true,false,false,false,false,false,false,false,3,false
false,false,false,2,false,1,false,3,true,1,false,1,false,3,false,false,false,true,[:alnum:],true,false,false,true,true,true,true,true,false,false,true,true,false,false,true,true,true,false,false,true,false,false,false,false,false,false,false,true,true,true,true,true,true,true,4,true
true,false,false,2,true,1,true,3,false,2,false,2,false,0,true,true,true,false,[:alnum:],false,false,true,true,true,true,true,true,true,false,false,true,false,false,true,false,false,false,true,false,false,false,true,false,false,true,true,false,false,true,false,false,true,true,1,true
